key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_caccae	N_caccae	p_hadrus	N_hadrus	p_hominis	N_hominis
func_0fa07df1bf64	33.03634692210193	6.702678903999e-8	1.587476582526079e-7	caccae,hominis	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	0.4	15	0	84	0.2727272727272727	11
func_3cba28592e1b	22.032210401984067	1.6434870983390715e-5	3.6978459712629106e-5	caccae,hadrus	M00055	N-glycan precursor biosynthesis	0.06666666666666667	15	0.5595238095238095	84	0	11
func_663ed8992a3e	19.62281107044608	5.4822737333266225e-5	1.1747729428557048e-4	caccae,hadrus	M00956	Lysine degradation, bacteria, L-lysine => succinate	0.26666666666666666	15	0.0119047619047619	84	0	11
func_4e1841adda5b	18.33343807018946	1.0445867335194534e-4	2.1366546821988822e-4	hominis	M00118	Glutathione biosynthesis, glutamate => glutathione	0	15	0	84	0.18181818181818185	11
func_242b2b6ca67f	7.213931871698936	0.027134048544656657	0.053088355848241287	hadrus,hominis	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	0	15	0.13095238095238096	84	0.3636363636363637	11
func_fc537615ad5e	6.391443963643234	0.04093695896395694	0.07675679805741926	caccae	M00827	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	0.06666666666666667	15	0	84	0	11
func_7b76ae6f5af9	1.9642875421315906	0.37450737957987773	0.67411328324378	hadrus	M00064	ADP-L-glycero-D-manno-heptose biosynthesis	0	15	0.07142857142857142	84	0	11
func_a2149dbbff1c	0.9546080370429778	0.6204538711485466	1	hadrus	M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	0	15	0.03571428571428571	84	0	11
func_af511601bdbe	0.8091914817713446	0.6672464968211406	1	caccae,hadrus	M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	0.06666666666666667	15	0.03571428571428571	84	0	11
func_a1dc8cd2ef61	0.6305264744951907	0.7295967919371898	1	hadrus	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	0	15	0.0238095238095238	84	0	11
func_df870695c3af	0.6305264744951907	0.7295967919371898	1	hadrus	M00923	UDP-L-FucNAm biosynthesis	0	15	0.0238095238095238	84	0	11
func_3baa3d401c0c	0.3123637682725055	0.8554035918775424	1	hadrus	M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	0	15	0.0119047619047619	84	0	11
func_db523f187c8a	0.3123637682725055	0.8554035918775424	1	hadrus	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	0	15	0.0119047619047619	84	0	11
func_f61f0685055f	0.3123637682725055	0.8554035918775424	1	hadrus	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	0	15	0.0119047619047619	84	0	11
func_3432b7606ebc	0	1	1	NA	M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	0	15	0	84	0	11
func_4116ea4fcaf6	0	1	1	NA	M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	0	15	0	84	0	11
func_4c11eb00306b	0	1	1	NA	M00346	Formaldehyde assimilation, serine pathway	0	15	0	84	0	11
func_4edc228d36b8	0	1	1	NA	M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	0	15	0	84	0	11
func_6a7d60179360	0	1	1	NA	M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	0	15	0	84	0	11
func_855985dab41b	0	1	1	NA	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	0	15	0	84	0	11
func_9218f9af5c5b	0	1	1	NA	M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	0	15	0	84	0	11
func_94df585aec78	0	1	1	NA	M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	0	15	0	84	0	11
func_9658fc48f901	0	1	1	NA	M00027	GABA (gamma-Aminobutyrate) shunt	0	15	0	84	0	11
func_b0bb74df0de3	0	1	1	NA	M00175	Nitrogen fixation, nitrogen => ammonia	0	15	0	84	0	11
func_b80d24c56144	0	1	1	NA	M00156	Cytochrome c oxidase, cbb3-type	0	15	0	84	0	11
func_e42ea02a2afd	0	1	1	NA	M00546	Purine degradation, xanthine => urea	0	15	0	84	0	11
func_e56d64955105	0	1	1	NA	M00358	Coenzyme M biosynthesis	0	15	0	84	0	11
